Id,SalePrice
2,118259.05341721383
4,270501.18927720253
6,207564.81031149195
7,211726.7650883642
17,219630.34233318738
18,325133.0134062695
22,176859.7985901806
27,111559.85492157609
31,105481.35481026991
36,143776.9848982106
39,423123.07835304574
40,236503.58242778183
42,281593.02444824873
46,239638.80863019603
53,171752.79948879863
58,169260.24170905465
61,306707.1530911312
72,228824.2388834667
79,123393.10166471967
80,217951.83288300718
82,156206.71437802666
83,93659.65412863222
85,153135.1332821239
88,120439.38402890174
92,274871.93193268985
93,289112.6397116595
95,178899.63200580663
102,158845.30573908828
103,166957.93150058435
106,236473.47658035674
107,155015.24939218035
110,223461.39919352118
114,187492.14608586612
116,182099.55228154326
117,150145.45067898254
118,131845.2300415865
125,156849.35186914544
126,183193.70314470743
127,128378.11833472451
128,217414.08682350567
134,148684.50016151564
135,196253.8656014698
137,242168.00331819593
143,143367.18049297843
147,131688.78772588944
148,174167.82424445855
150,116758.20054602937
156,133080.97664179414
157,127174.43971636669
159,141174.4756009237
161,300052.78594998864
167,136016.3283307222
170,110789.92317598751
171,95225.47475826884
175,102398.89604412833
179,123358.84829990605
181,105772.68745962392
186,187593.7150747848
193,191528.62076010942
194,95245.25279870424
206,107594.02004205434
208,144533.81239668847
210,179859.15236361045
211,86888.83106844706
212,107631.0767501365
214,83698.7625079599
215,146964.916724706
217,133175.28118648927
222,164635.0199588688
227,139762.03988716347
228,149320.2049901774
233,215525.00492995218
235,111441.22773508704
238,135206.10946835164
241,162715.5602204157
252,175436.4325119097
253,171486.9979144233
256,151831.7387685093
257,139674.0326093246
258,186263.78455301703
259,172226.30457511763
261,161997.7431913166
263,117841.37845142798
266,229492.86778061913
267,223102.44390850642
270,145265.46345690376
271,254634.0660961761
276,115874.2673061942
285,160491.05867118746
288,70124.62918523188
289,135586.5570815436
290,111614.46162542727
291,144380.35494579116
292,105929.84745812535
293,194123.73617050462
294,222176.74863370304
295,164847.66266529565
304,101278.02788352742
322,335052.52448883746
326,157910.32878123937
327,102232.32729148345
328,139026.3524750638
331,98922.09783577973
332,92876.31641973088
333,109528.93420680825
335,145087.59323379994
337,157427.64514376232
342,119226.79004341565
343,167832.8611232622
347,172879.39365712047
350,441881.282702882
352,216156.21873947416
358,196021.70642193343
359,170397.44582520225
360,157919.39463711865
368,333151.6978529805
369,274330.75739475235
373,179708.22596902552
377,277183.17995569255
383,193815.51630644946
386,215994.91724869018
387,215485.94910740093
390,160563.02520236056
391,142584.21203686003
395,149052.81843948053
397,145371.22913944907
398,110741.08134341387
401,111991.19298994332
404,135959.71983803686
408,127252.0139221721
409,140492.8303711978
410,140237.00752127773
418,134222.1695825692
422,450505.8647288514
427,319030.256683359
431,429542.8456266396
433,603384.9648887402
437,386149.9891321624
438,264850.9093987068
442,351127.8845853735
447,217874.78799530133
459,362859.5234739645
460,247817.11547099272
464,188986.5106173221
465,182429.68915663482
467,185785.1319944871
468,191082.3911324073
474,176867.91929954253
480,205608.33749185086
481,199415.54127093658
483,212097.7790769348
488,187963.0960909068
492,172667.40803345022
494,174141.88173194032
499,330476.30927699566
500,254427.3313180649
501,294185.27404026786
503,248770.2005532089
506,240901.39755644157
508,236802.26635285976
511,278631.40582789975
515,232896.36891618418
519,227913.67446407405
521,254745.27986600038
530,225616.59584976768
532,219201.84540990912
534,174298.18554624464
540,160414.44736245065
541,133642.00490839817
551,154713.14940459267
552,164343.4513503956
554,82228.56186476474
555,111887.57556864
556,124541.73572053763
557,121324.82572433997
565,250320.81264231936
566,297107.44619386457
567,152484.71361613818
569,231434.52396544008
570,196578.70396819452
574,211579.314693807
575,348401.3774446288
576,203122.79470874937
577,199375.0883854349
578,230940.10888325094
583,233124.77243599747
584,211596.3014099059
585,156346.33095446686
587,180154.6043352743
593,218462.8318946437
597,201242.0502558065
598,155399.1438865824
599,146064.4875754388
600,118566.66418317506
605,143631.64851126648
607,146719.2199426398
608,151152.67531042834
611,161778.97240955118
616,110112.13741460665
625,161448.15066941793
629,132809.2696812829
630,115615.81426455779
631,143081.05202481273
640,161811.90522228644
642,149382.7091751518
643,145997.64944127947
646,99431.93494027597
647,158482.6889645555
655,90311.74669289701
659,113900.35906270947
663,69365.06731565662
665,99878.41645069425
667,185490.70349026934
673,149559.30194684252
676,145342.95554591715
680,137644.1655134185
682,136238.47449868766
687,140023.57507085014
688,144977.21190599346
692,126897.656563589
693,98319.65234247036
695,140050.6659969304
697,112279.43658662795
700,125229.75331678496
702,135689.2723546996
703,155484.43115545792
704,98767.96500749902
712,101271.17442165111
713,100331.09055779722
717,200975.03221589138
720,192271.58319926172
721,74263.31081504362
726,129387.89114927308
733,101363.40946755408
736,130588.61315676392
738,101412.21871029271
741,119900.54703555003
743,59069.32719283645
745,102006.36165048448
750,131870.6028606782
756,93521.45478055664
757,131344.27310493632
758,131831.44364525293
760,102526.31785418578
765,139784.31628003245
775,119726.10075277874
776,127500.96225074619
780,165757.5795203653
783,231590.39089400173
790,114969.61263839262
795,79340.25857694629
796,137925.53065121462
797,135258.9833464483
798,111425.80177935222
804,206462.5507999559
805,216790.61430198673
806,249947.37370273238
808,122490.61174521387
814,152946.37767910346
818,281780.5012528345
821,253949.13304863212
822,323797.7741016098
825,315991.8898893576
827,246445.3844356168
830,189150.7793778853
834,226156.3243201107
835,166188.41084272764
842,133220.81688784016
845,208174.5067265256
852,202010.56009357027
857,147870.59377482932
858,152698.71426704276
859,134287.46714135667
860,114247.14117424987
861,134109.77241678536
864,251697.20253881332
868,181455.78422658375
869,187996.16645810308
872,295720.2695314671
873,221558.36244454893
885,96361.68410894481
890,116916.30570664887
895,97131.60225978993
899,68092.70118126266
906,114716.93900421118
918,143025.4115308031
923,141288.34037262766
925,122519.69713383245
927,138241.20654534322
932,193820.0246244264
933,122860.44674600511
934,151520.98088272067
942,95287.39802929426
947,248546.8097738589
948,293728.37963338115
951,155402.19718251703
957,259162.3849363335
958,314883.2822101789
959,204213.1003521795
963,198745.87402553385
967,215585.6312950616
968,344101.7142929362
971,125905.01429290771
972,167192.20678217124
976,118759.40376355783
978,92612.34226762118
979,112707.55654844055
984,116044.4214455618
986,155002.02609208162
991,247433.93067207708
996,193819.47524644196
1001,267129.11346382037
1007,201786.76272157172
1008,165294.41507355307
1009,216196.97213915666
1014,127952.14535030254
1022,229340.39275589833
1024,156698.92841212952
1027,126267.87244505627
1030,157305.22275454836
1032,162676.78276786068
1035,161334.23369133717
1042,122281.99418205432
1047,139676.63433683576
1050,104486.43001410492
1055,271992.5962676613
1059,458873.9215848895
1061,386053.6480627176
1064,546778.9815892876
1077,206222.84076968374
1081,221673.42256738656
1092,250513.0360591994
1093,187468.4358819499
1095,212899.81473036896
1099,253840.8470090819
1101,284781.8891851006
1103,353119.4204021488
1109,265282.15232876164
1112,215742.5507935536
1113,233293.96056786238
1114,247733.66057710827
1116,220834.71493994645
1117,210629.48975490071
1119,269035.28347332805
1121,206470.61145199192
1122,199855.2700743567
1125,234216.86482184444
1137,158940.55771368428
1142,209375.70177213664
1144,176273.2697442451
1145,187621.7920400233
1147,181578.6640162279
1148,188402.59087467106
1149,156279.40231226815
1150,114272.3609461282
1153,118648.29793725336
1154,111670.4194496421
1159,392816.6597068439
1161,157185.17091324026
1167,151975.50835833733
1171,277169.8963311857
1174,165601.98503882927
1188,169105.57997455687
1189,173480.15803007278
1191,153957.47776400158
1195,128259.43693493672
1199,172221.7120941154
1201,182369.67614774915
1204,179965.50294534443
1211,155620.38708810115
1214,146646.41962261873
1219,145835.6587609294
1220,78114.31636156418
1227,182192.57870072054
1229,194270.06637817418
1231,134510.31237286297
1234,218100.8072195336
1235,139398.88867143966
1239,164495.72976222882
1240,157701.47679825325
1241,194837.705775084
1246,115698.38285815412
1249,161190.9174115135
1250,125802.39541503013
1252,119722.66997898756
1259,118636.7179740672
1267,119042.94362424071
1269,94708.5767813571
1270,137500.26734587186
1272,118521.11952094223
1274,131212.77869138736
1276,113829.81637522114
1279,137287.4626052729
1281,153395.23199139888
1286,127458.11049395813
1287,126494.23121781381
1290,80608.68491184054
1291,128295.623562644
1297,140226.28004907278
1302,135532.58245473274
1303,65961.85826533912
1312,96936.34120976343
1315,133341.31473327908
1322,59450.23577219307
1327,105411.38666531519
1331,127927.19100946719
1333,129458.92494208596
1334,126904.49071124804
1336,111547.14537786735
1341,117659.759872191
1344,92651.13715703483
1347,126640.3130582613
1348,144605.7870079195
1353,156303.9925666336
1355,117203.88028457329
1356,109804.96375500846
1357,161879.11402956236
1361,136086.06735450032
1364,118416.88568195293
1368,121565.84858480554
1369,93878.38959508175
1371,123158.8332363382
1373,134454.90826831252
1374,119053.21454762471
1387,107632.07811635193
1388,92505.56585466966
1392,157151.07930376625
1394,129982.76133040237
1406,145844.31600457383
1407,188904.45197012727
1408,170102.71042957742
1409,159013.55320962318
1411,172742.58482494965
1412,112414.9587532729
1413,143516.39388056978
1414,122621.81693045706
1425,241263.47831024177
1430,191386.9079805552
1431,177133.1642343359
1435,220910.04080012467
1441,233723.46960324387
1444,217549.4834643939
1445,122667.8462439858
1446,153761.4152754929
1452,126787.97116876692
1453,128255.16750551689
1456,220161.82439019042
1457,221089.20953063617
